TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,Legend of zero book,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,spanish book read,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,soap dish,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,schrodinger's what is life,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,rubicon,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Patton,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Logia fragmetn,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Lethal Weapon,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,JFK Movie,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Hugh Laurie villain?,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Guido Sarducci,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Frost Nixon,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Even stevents,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Errol Morris thin blue line,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Kool aid acid test,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Stop chasing carrots,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,get green onions,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Cryptonomicon @Home,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Warcraft movie,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Cryptonomicon book,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Cherries in coke,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Kafka books,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Dostoevsky's the posessed,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Turgenevs fathers and sons,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,speak for success academy if accepted,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Sense8,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Freaks and geeks,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Me robot,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Eerie Indiana,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,The leftovers,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Misfits,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Wayward pines,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Twin peaks,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Flowers of Dr Nobody,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Caramel sweet and salty bugles,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,The hurricane denzel,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,A dogs breakfast,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Scanners,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Jacobs ladder,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,The day after,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Doc opt argparser,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Bloodsport,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,I am pilgrim by Terry Hayes sci-fi book,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Hawking movie,3,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,The master movie,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Sparkling ice,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Black mirror,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Anomaly scifi book/show?,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Full metal alchemist,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Cosmos spacetime odyssey,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Over the garden wall,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Dekalog,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Drowning Mona,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Over the garden wall,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,The night of,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Temple Grandin movie,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Carry the fire,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,White helmet documentary on Netflix,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Get Google cardboard,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,